id,id_client,id_product,qtd,total,sale_date
84,25,35,1,10455.7,01-05-2023
85,18,80,7,904567.0,05-09-2024
86,15,145,8,34799.0,2023-06-02
87,7,20,14,431668.0,2023-11-24
88,29,147,5,15150.0,2024-03-11
89,30,75,8,262147.0,2023-12-21
90,2,72,3,284044.3,2024-07-22
91,23,36,15,339021.0,2023-01-06
92,40,2,7,93087.65,2023-04-19
93,37,113,11,45927.75,11-01-2023
94,36,90,8,632779.0,02-08-2023
95,25,131,12,11563.0,17-12-2024
96,11,82,8,392418.4,22-08-2023
97,25,48,2,29473.0,2024-09-18
98,21,142,2,1570.35,2024-02-13
99,49,81,9,1099336.0,06-01-2024
100,22,93,4,381812.6,21-01-2023
101,11,47,8,48984.0,04-07-2024
102,9,67,9,733495.95,2024-02-02
103,36,146,5,2356.0,12-04-2023
104,11,24,11,242776.3,2024-03-02
105,23,77,6,254816.6,2023-10-31
106,48,143,8,35491.0,2023-03-29
107,38,98,8,634889.0,10-08-2024
108,4,139,6,8121.55,19-01-2023
109,39,96,7,494346.0,2024-09-18
110,34,148,8,38284.0,27-10-2024
111,28,32,10,125025.0,06-03-2023
112,37,100,9,894331.9,2024-11-12
113,28,28,9,121910.65,12-06-2024
114,12,75,5,163842.0,2023-05-03
115,27,85,1,36650.05,2023-10-08
116,7,130,3,11810.4,2023-03-19
117,27,18,3,75731.15,03-06-2023
118,18,122,10,13225.0,2023-07-22
119,46,80,1,129224.0,2023-08-04
120,6,81,15,1832227.0,2023-06-17
121,25,132,13,20319.0,2024-02-14
122,8,128,10,44181.65,09-03-2023
123,10,106,6,24993.55,15-06-2023
124,21,43,3,105291.0,18-05-2023
125,44,112,11,23990.0,2024-08-23
126,29,80,5,613813.05,2024-07-14
127,26,55,7,769910.0,09-02-2024
128,1,53,14,751450.0,24-03-2023
129,3,82,11,567974.0,26-02-2024
130,15,123,2,5554.0,18-12-2024
132,3,5,12,284028.0,15-10-2024
133,34,122,2,2512.75,13-11-2024
134,7,18,7,176706.65,2023-01-11
135,14,22,11,433981.0,26-09-2024
136,16,70,10,343554.0,2023-03-02
137,17,62,5,511110.0,14-11-2024
138,45,86,4,355388.35,11-06-2023
139,38,123,1,2638.15,2024-12-22
140,20,83,5,640318.05,2024-05-29
141,29,127,5,7359.65,2024-06-15
142,9,34,5,24588.0,2024-12-28
143,23,142,5,3925.4,2024-03-16
144,27,116,4,10302.0,15-01-2024
145,3,122,12,15076.5,2023-10-16
146,11,70,10,343554.0,26-12-2023
147,24,129,1,3102.7,01-07-2023
148,13,111,15,61064.1,06-09-2024
149,7,57,1,112851.45,13-07-2024
150,5,114,13,9871.45,06-04-2024
151,45,39,6,177797.0,15-12-2023
152,27,82,8,413072.0,2023-06-06
153,48,30,11,336990.65,30-12-2023
154,22,137,10,32162.25,2024-02-17
155,12,21,9,78611.0,2024-06-22
156,11,44,13,133464.55,22-10-2024
157,48,17,1,13337.05,2024-04-24
158,9,138,5,19869.25,2024-11-27
159,24,66,15,188574.0,2024-07-03
160,8,121,11,40637.0,2023-05-27
161,19,126,8,21416.0,09-09-2024
162,12,147,15,43178.45,25-06-2024
163,4,70,7,228463.6,09-03-2023
164,23,9,5,198528.0,2023-09-14
165,23,27,8,125487.4,28-12-2023
166,28,111,2,8570.0,2023-02-17
167,19,122,11,13819.65,22-08-2024
168,48,7,6,111257.35,2024-10-05
169,23,101,2,927.0,2023-01-24
170,16,116,1,2576.0,2023-12-30
171,8,24,12,278786.0,2023-12-22
172,15,123,13,34296.9,26-07-2023
173,13,131,1,964.0,25-07-2023
174,42,16,6,180036.0,2023-01-09
175,19,88,6,275518.05,28-01-2023
176,32,124,12,45239.0,2024-11-14
177,17,69,4,181060.0,11-03-2023
178,6,143,6,25288.05,2023-07-10
179,41,76,14,1971036.25,2024-09-27
180,25,38,2,52922.0,16-05-2024
181,28,127,11,16190.85,2023-02-02
182,7,115,5,4153.0,06-09-2023
183,27,80,9,1163015.0,26-04-2023
184,33,7,3,55628.2,2024-03-31
185,39,27,7,115580.0,2023-01-09
186,14,7,10,185428.6,2023-06-23
187,44,80,2,245525.6,2024-09-01
188,26,117,10,41030.0,07-02-2024
190,24,138,8,31790.8,2023-12-18
191,43,101,11,5097.0,24-11-2024
192,6,148,9,40916.5,2024-01-26
193,7,144,6,12620.75,01-03-2024
194,9,52,6,82225.0,2024-06-07
195,9,81,14,1710079.0,2023-06-24
196,8,74,9,779027.0,2023-12-26
197,2,83,12,1536764.65,2024-01-29
198,38,106,10,43849.0,14-11-2023
199,2,99,11,1120936.35,2023-10-31
200,20,44,7,71865.6,2023-10-20
201,38,79,11,727615.0,24-03-2023
202,27,57,8,950325.0,2023-11-05
203,13,18,3,79717.0,18-01-2023
204,22,138,8,31790.8,24-08-2024
205,41,119,9,27836.9,25-09-2023
206,9,124,8,28651.05,2024-08-30
207,10,51,15,914265.75,2024-01-09
208,37,74,3,259676.0,21-07-2024
209,38,15,10,278998.0,11-09-2024
210,29,18,12,302925.55,02-04-2024
211,17,108,14,44496.1,2023-08-31
212,5,9,4,150880.9,2023-02-23
213,6,35,8,88044.0,2023-08-27
214,14,66,7,83600.95,2023-11-15
215,43,144,13,28784.0,2023-09-16
216,9,55,3,313463.9,09-08-2024
217,22,112,13,26934.4,2023-10-19
218,38,84,8,330021.45,2024-01-16
219,9,115,14,11628.0,2023-02-11
220,29,23,14,148675.95,2024-08-29
221,39,104,4,14852.0,2023-07-23
222,27,116,9,23180.0,2023-06-21
223,18,125,9,29088.05,2023-11-06
224,42,34,10,46716.25,21-11-2023
225,41,106,14,58318.6,03-09-2023
226,18,144,13,27344.8,14-09-2024
227,15,9,6,238233.0,2024-11-18
228,6,78,6,730569.0,24-01-2024
229,42,100,4,418401.0,2023-07-17
230,14,78,5,578367.6,2024-08-04
231,6,16,4,120024.0,11-05-2023
232,42,144,9,18930.65,2024-01-18
233,23,83,4,539216.0,05-06-2023
234,46,22,2,74960.7,17-08-2024
235,29,131,2,1830.65,2024-07-28
236,33,113,10,41752.5,2023-01-08
237,36,117,14,57442.0,23-03-2024
238,40,55,4,417951.55,17-04-2024
239,28,28,10,142586.0,10-01-2024
240,47,91,10,1348860.0,21-04-2023
241,21,81,5,610742.0,2023-11-28
242,2,132,14,21882.0,2024-03-17
243,40,98,14,1055503.2,23-02-2023
244,28,130,10,41441.0,17-07-2024
245,12,55,7,769910.0,2024-07-10
246,28,137,14,47397.0,01-07-2023
247,23,22,11,412281.95,23-05-2024
248,36,103,12,21470.0,2024-12-28
249,38,67,13,1115258.0,07-12-2024
250,34,66,14,167202.85,01-12-2023
252,15,70,1,34355.0,2024-10-12
253,5,61,14,392261.0,2024-03-15
254,24,5,7,157398.85,2023-10-27
255,10,74,9,740075.65,21-09-2023
256,12,130,4,16576.0,05-06-2023
257,15,124,1,3581.5,2023-04-30
258,49,7,3,55628.2,12-09-2024
259,11,51,5,320795.0,27-11-2023
260,3,59,1,87166.0,2024-01-03
261,11,130,4,16576.0,2024-07-24
262,1,65,15,383366.0,26-02-2023
263,3,107,2,2875.65,2024-11-29
264,10,32,12,142528.5,24-01-2024
265,15,64,12,1338067.0,2024-01-12
266,45,16,9,270054.0,17-08-2023
267,41,101,14,6488.0,2023-07-15
268,24,97,5,676675.0,09-11-2024
269,4,82,8,413072.0,13-06-2024
270,2,119,12,39070.0,2024-09-16
271,49,105,15,4643.0,2023-08-20
272,6,106,8,33325.05,2023-05-10
273,2,143,15,66546.0,21-01-2024
274,40,141,9,43036.0,2024-07-14
275,40,67,6,514734.0,25-02-2024
276,41,110,10,23707.25,2023-12-12
277,9,55,1,104487.65,2023-11-05
278,21,129,1,3102.7,2023-02-21
279,1,71,12,1562089.0,2023-11-08
280,23,62,9,873998.1,2024-03-22
281,16,33,13,87305.0,2023-09-04
282,30,130,1,4144.0,10-08-2024
283,3,124,10,35814.05,10-02-2023
284,37,85,13,476446.85,28-06-2023
285,28,96,5,335448.8,2024-12-26
286,42,35,3,33017.0,29-06-2024
287,3,42,5,28465.8,2023-11-05
288,23,138,2,7947.7,2024-08-10
289,29,75,8,262147.0,03-02-2024
290,28,79,10,628394.6,2023-05-11
291,18,107,2,2875.65,06-09-2023
292,49,74,1,82231.05,10-08-2023
293,23,23,13,138055.9,2023-03-14
294,5,120,9,28120.0,10-05-2023
295,47,102,12,9984.0,2023-09-07
296,38,89,15,1180171.0,16-09-2024
297,28,4,11,37201.0,2023-12-11
298,6,98,1,75392.95,2023-05-26
299,42,137,6,20313.0,15-11-2024
300,19,62,1,102222.0,05-08-2024
301,30,96,10,706208.0,2024-10-23
302,44,74,11,904536.8,04-08-2024
303,28,8,9,44857.0,01-09-2023
304,7,35,2,22011.0,2024-01-21
305,11,38,12,317534.0,19-02-2024
306,12,70,6,206133.0,04-01-2023
307,10,144,4,8857.0,2023-07-19
308,16,124,3,11310.0,2023-12-26
309,19,63,13,1728477.5,2023-09-23
310,20,110,6,14224.35,2023-01-29
311,43,29,1,34684.5,2023-11-29
312,46,101,12,5282.95,2024-08-31
313,27,12,1,2589.7,2024-08-11
314,14,35,11,121061.0,09-05-2023
315,12,137,8,27084.0,08-01-2023
316,41,94,13,503272.95,24-07-2023
317,15,73,12,1717919.0,06-10-2024
318,1,97,9,1218016.0,2024-12-14
319,12,16,15,450090.0,11-11-2023
320,39,45,8,75268.5,17-02-2024
321,42,8,7,34889.0,01-10-2024
322,47,50,15,160683.0,2024-05-21
323,46,106,7,29159.3,02-02-2024
324,15,21,5,43673.0,17-04-2023
325,30,130,8,31495.35,13-08-2024
326,32,27,15,247672.0,2023-05-06
327,43,60,8,826508.55,2023-10-19
328,38,78,12,1388082.05,26-07-2024
329,3,123,1,2777.0,2024-11-30
331,2,97,11,1488686.0,2023-11-22
332,44,26,15,259248.0,2023-08-28
333,35,36,6,128827.6,08-05-2023
334,40,86,6,561139.0,2023-11-01
335,44,14,11,374225.9,15-12-2024
336,22,29,14,485587.75,02-01-2024
337,35,137,13,44011.0,15-06-2024
338,44,110,2,4741.45,2024-06-26
339,43,134,3,14153.0,05-04-2023
340,24,130,4,16576.0,2023-03-18
341,35,34,2,9343.25,06-07-2024
342,3,74,6,493383.45,10-11-2023
343,47,64,14,1483024.1,2023-11-07
344,47,138,12,50197.0,16-05-2024
345,36,89,3,236034.0,2024-10-21
346,48,39,14,394117.0,2024-12-15
347,17,63,11,1462557.3,2023-10-14
348,38,40,14,188648.15,24-11-2024
349,31,55,8,835903.1,15-12-2024
350,42,7,5,92714.3,2023-11-05
351,41,6,14,157208.85,2024-09-04
352,32,136,8,15788.0,09-02-2024
353,6,88,5,229597.9,2024-09-29
354,12,113,9,37577.25,2023-10-13
355,8,141,8,36341.3,2023-07-08
356,14,22,1,37480.35,20-11-2023
357,42,27,15,235288.4,31-07-2023
358,42,10,15,480496.0,2023-10-06
359,15,26,4,65676.35,07-06-2024
360,33,63,3,419873.0,10-09-2024
361,29,9,15,595582.0,15-07-2024
362,39,20,10,292917.3,21-04-2024
363,49,130,8,33153.0,2024-08-20
364,6,6,6,70921.0,27-07-2024
365,14,112,11,23990.0,23-06-2024
366,18,16,14,399079.8,19-09-2024
367,17,72,7,697652.0,30-04-2024
368,6,129,14,43440.65,09-08-2023
369,27,114,3,2398.0,2024-06-23
370,47,27,9,148603.0,2024-02-23
371,3,57,9,1015659.25,24-05-2024
372,42,77,7,312933.0,20-02-2023
373,29,145,6,26099.0,31-01-2024
374,6,22,15,562203.35,06-08-2024
375,43,16,1,30006.0,2024-07-26
376,33,88,15,725047.0,2024-10-17
377,15,59,15,1242117.4,29-03-2023
378,49,80,5,646119.0,2023-10-01
379,25,26,14,241965.0,18-10-2024
381,12,39,4,112604.45,2023-05-06
382,3,7,5,92714.3,2024-01-18
383,24,121,5,18471.0,11-07-2023
384,30,4,9,30437.0,2023-12-18
385,25,3,13,111448.3,2023-03-14
386,33,73,10,1431599.0,2024-08-31
387,5,115,12,9967.0,2023-02-21
388,6,85,3,109949.2,2024-01-28
389,32,145,1,4350.0,2024-12-18
390,30,9,9,357350.0,01-06-2024
391,29,69,2,90530.0,04-09-2024
392,47,120,1,3124.0,18-03-2023
393,39,130,6,24865.0,2023-10-07
394,25,128,11,48600.1,17-08-2023
395,3,29,11,381533.3,2023-02-27
396,9,67,13,1115258.0,2023-08-30
397,37,108,5,15891.6,17-09-2023
398,21,139,14,18950.6,2023-08-12
399,16,124,10,37699.0,2024-02-05
400,12,122,12,15870.0,02-11-2024
402,13,85,1,36650.05,18-07-2023
403,46,32,2,23754.75,2024-11-19
404,46,5,7,157398.85,19-07-2023
405,13,45,4,39615.0,07-05-2023
406,15,63,6,797758.7,23-04-2024
407,23,59,15,1307492.0,2024-08-24
408,9,68,9,571970.3,16-11-2023
409,42,15,7,195298.0,2023-12-23
410,5,22,12,473434.0,24-07-2024
411,38,89,15,1121162.45,2023-10-20
412,31,115,4,3155.9,06-09-2023
413,42,66,6,71658.5,2023-06-25
414,18,75,12,393221.0,2023-05-13
415,17,97,2,270670.0,31-05-2023
416,13,16,4,120024.0,29-10-2023
417,41,85,9,347208.0,2024-06-17
418,5,68,1,63552.15,2023-11-21
419,39,150,8,12506.75,13-12-2023
420,38,12,5,12949.45,22-02-2023
421,17,122,13,17192.0,20-04-2024
422,18,104,8,28218.8,11-11-2024
423,31,24,8,185857.0,06-06-2023
424,38,77,1,44705.0,2023-09-16
425,23,90,11,826567.45,14-01-2023
426,37,12,1,2726.0,08-08-2023
427,42,63,14,1861436.65,30-07-2024
428,28,43,4,140387.0,05-12-2024
429,7,108,10,33456.0,24-01-2024
430,46,5,10,236690.0,24-11-2023
431,28,47,7,40717.95,10-03-2023
432,30,27,1,15685.45,20-04-2023
433,14,40,9,127656.0,2024-03-16
434,46,98,13,980110.25,2024-09-29
435,33,55,1,109987.0,2023-02-05
436,33,47,6,36738.0,18-03-2024
437,25,110,11,26078.45,2024-01-12
438,6,88,6,275518.05,01-04-2024
439,13,1,2,66245.0,02-01-2024
440,20,83,6,808823.0,28-02-2024
441,28,64,14,1483024.1,24-03-2024
442,44,17,3,42116.0,2024-07-28
443,15,91,5,674430.0,18-02-2023
444,27,28,14,189639.0,2023-08-28
445,29,6,9,106382.0,28-11-2023
446,13,139,4,5700.0,11-04-2023
447,34,144,14,29448.1,2023-06-11
448,31,56,3,128966.0,2024-10-23
449,14,60,3,309940.35,2024-12-19
450,48,62,12,1165330.8,2023-08-26
451,42,54,13,1500955.35,19-02-2024
452,28,134,2,8963.25,26-09-2024
453,22,96,9,603808.6,2024-07-23
454,39,29,12,416217.8,2023-07-22
455,39,13,5,38736.0,2024-06-09
456,17,43,8,266736.25,2024-03-02
457,49,92,8,675291.35,2023-11-11
458,41,13,3,23241.0,2024-07-31
459,44,67,11,943680.0,2023-12-05
460,31,150,3,4690.15,2023-09-22
461,10,23,4,42479.25,2024-10-29
462,49,126,3,7629.45,13-05-2023
463,7,26,14,241965.0,2024-06-12
464,45,64,8,892044.0,09-12-2023
465,17,96,7,469628.7,2024-10-18
466,45,9,15,595582.0,2023-05-01
467,22,30,4,128991.0,31-05-2023
468,3,101,6,2641.0,2024-03-31
469,44,9,1,37720.7,2024-10-31
470,5,55,14,1539821.0,2024-02-29
471,33,36,12,271217.0,25-03-2023
472,26,56,7,285874.95,04-01-2023
473,4,84,12,495032.65,20-06-2024
474,9,147,12,34542.95,22-06-2024
475,2,107,15,22701.0,06-10-2023
476,3,86,11,977316.3,2023-03-05
477,33,32,2,25005.0,01-07-2024
478,47,105,3,882.55,2023-04-12
479,2,60,6,652507.0,2023-03-06
480,20,4,1,3382.0,28-04-2023
481,33,55,6,626926.85,2023-10-06
482,33,27,9,148603.0,2024-05-30
483,41,123,10,27771.0,2024-08-26
484,22,110,6,14224.35,2023-07-21
485,23,149,6,6982.0,17-01-2023
486,48,17,8,106694.5,2023-02-28
487,42,104,7,25991.0,2023-07-11
488,33,30,1,32248.0,01-03-2023
489,33,124,9,32232.55,15-11-2023
490,14,73,10,1431599.0,2024-07-24
491,33,138,6,23843.1,2023-12-04
492,9,141,4,18170.65,14-10-2023
493,24,40,1,13474.8,28-06-2024
494,32,46,2,9968.0,2024-02-19
495,2,43,8,280775.0,20-02-2023
496,31,98,10,793611.0,29-09-2023
497,31,121,9,31585.6,2024-10-30
498,34,20,13,380793.25,03-01-2024
499,39,101,15,6951.0,2024-10-07
500,27,72,4,398659.0,2023-09-28
501,31,24,14,325251.0,01-05-2024
502,45,72,12,1136177.2,2023-01-25
503,45,54,11,1270038.85,27-11-2024
504,7,102,8,6323.2,21-02-2023
505,25,124,13,49009.0,24-07-2024
506,40,35,6,62731.35,2023-01-13
507,36,143,9,37931.6,2024-01-10
508,36,109,13,7690.25,2024-09-19
509,35,132,9,14067.0,18-06-2024
510,48,6,12,141843.0,10-03-2023
511,17,120,15,46867.0,15-11-2024
512,14,12,14,36258.65,2024-09-25
513,18,47,3,17450.55,08-08-2024
514,34,100,4,418401.0,23-11-2023
515,28,83,10,1280637.05,2024-12-18
516,32,119,4,12371.85,2024-01-15
517,49,4,7,22489.35,2023-05-30
518,48,90,8,632779.0,2024-05-12
519,5,101,1,439.85,09-09-2023
520,29,10,13,416430.0,14-01-2023
521,29,109,4,2366.45,2024-11-04
522,24,146,15,7440.0,24-07-2023
523,9,130,7,27558.55,19-09-2024
524,8,56,7,285874.95,15-02-2024
525,45,15,10,265048.1,11-12-2024
526,8,12,7,18128.85,2023-03-02
527,48,53,1,53675.0,13-02-2024
528,15,45,12,118845.0,31-03-2024
529,4,5,7,165683.0,2024-11-29
530,32,92,8,675291.35,04-01-2024
531,13,19,10,164324.0,2023-07-21
532,41,59,6,496847.15,11-08-2024
533,25,4,15,48191.6,2023-08-15
534,12,120,5,15622.0,2023-03-25
535,5,112,11,23990.0,2024-10-22
536,19,86,8,748185.0,17-01-2023
537,9,63,2,265919.25,27-02-2023
538,29,141,1,4542.9,2024-12-13
539,35,65,10,242798.15,2024-11-21
540,24,121,8,28076.3,15-12-2023
541,1,72,2,189362.55,11-08-2023
542,19,91,12,1618632.0,2024-04-22
543,3,6,2,23640.0,18-08-2024
544,28,134,6,28306.0,22-09-2024
545,39,53,1,53675.0,21-09-2023
546,19,55,15,1567317.6,2023-11-01
547,10,25,1,11519.7,16-07-2023
548,27,24,14,308988.45,06-07-2024
549,27,9,10,397055.0,2024-10-10
550,5,56,14,571750.85,29-08-2023
551,23,27,1,16511.0,2024-06-06
552,48,11,15,516305.05,2023-11-04
553,20,122,7,9257.0,28-01-2023
554,23,16,15,450090.0,13-11-2023
555,8,84,6,260543.0,2023-08-31
556,38,40,9,127656.0,2023-02-18
557,44,43,4,140387.0,2024-08-11
558,43,42,2,11386.7,2023-01-27
559,9,100,5,496850.95,18-03-2024
560,18,4,10,33819.0,2023-04-21
561,33,51,2,128318.0,2023-06-12
562,16,99,4,407613.65,26-06-2023
563,44,150,9,14811.0,2024-02-14
564,13,139,11,15674.0,02-09-2024
565,12,115,11,8679.2,07-03-2024
566,1,30,7,214448.25,16-09-2023
567,4,7,3,58556.0,2023-06-09
568,8,12,1,2589.7,28-08-2023
569,24,12,12,31078.3,28-06-2023
570,8,132,10,14848.5,2024-12-30
571,9,43,11,386065.0,2023-08-06
572,7,138,3,12549.0,2023-06-28
573,10,83,1,134804.0,26-12-2023
574,8,3,12,102875.5,2023-03-28
575,19,136,14,27629.0,2023-10-15
576,49,7,10,195188.0,25-04-2024
577,30,13,11,80957.1,08-04-2024
578,27,125,3,10206.0,2024-11-20
579,42,53,14,713877.5,2023-08-07
580,22,146,14,6596.8,20-06-2024
581,12,7,10,195188.0,14-06-2023
582,46,9,5,198528.0,24-11-2024
583,17,58,2,217649.0,2023-10-31
584,6,49,2,25201.6,03-06-2023
585,30,6,14,157208.85,2024-02-14
586,36,130,14,58017.0,07-02-2023
587,28,113,7,30765.0,2024-09-08
589,42,93,14,1406678.0,17-08-2024
590,12,82,1,49052.3,22-08-2024
591,33,54,9,1039122.35,13-11-2023
592,21,133,4,7192.45,02-06-2024
593,11,124,15,56549.0,2023-10-07
594,15,12,15,38848.35,2024-04-22
595,21,49,5,63004.95,2024-08-08
596,23,30,14,451470.0,2023-04-23
597,8,84,9,390815.0,2023-05-07
598,13,39,14,414860.0,01-11-2024
599,10,122,9,11902.0,2023-03-16
600,36,73,13,1768025.05,2024-06-01
601,11,56,11,449232.2,2023-12-23
602,35,39,8,225209.85,24-05-2024
603,19,97,10,1353351.0,23-12-2024
604,6,72,10,946813.7,29-02-2024
605,41,9,4,150880.9,02-04-2023
606,24,61,11,308205.0,26-05-2023
607,19,32,1,12502.0,31-01-2024
608,23,76,4,592793.0,29-11-2023
609,16,70,10,343554.0,22-08-2023
610,8,90,11,870071.0,09-03-2024
611,45,13,9,66237.8,2023-04-18
612,32,11,10,344203.05,2024-01-14
613,14,21,14,122284.0,22-07-2024
614,45,83,1,134804.0,28-03-2024
615,29,37,5,28822.05,2024-06-30
616,31,52,1,13018.8,2024-08-27
617,23,73,5,680010.0,31-07-2023
618,43,131,8,7323.55,12-06-2023
619,26,30,3,96744.0,2023-09-13
620,40,12,2,5179.4,2023-09-23
621,18,107,8,11501.65,22-09-2024
622,33,84,14,607934.0,24-04-2024
623,30,77,14,594571.75,19-10-2023
624,1,108,5,16728.0,2023-11-03
625,21,55,5,522439.2,25-05-2023
626,47,9,12,476466.0,31-08-2023
627,47,120,3,8904.35,15-04-2024
628,20,72,3,284044.3,28-12-2024
629,23,116,8,20604.0,09-04-2024
630,18,67,13,1059495.1,04-09-2024
631,43,15,2,55800.0,04-01-2023
632,41,61,15,420279.0,19-12-2023
633,21,117,5,19489.25,2023-03-23
634,33,88,9,413276.6,09-12-2023
635,31,63,13,1728477.5,23-11-2024
636,30,137,8,27084.0,2024-06-30
637,38,89,7,523208.7,2023-01-20
638,9,62,1,97110.9,10-12-2023
639,14,9,4,158822.0,25-10-2023
640,14,61,6,159706.4,01-10-2023
641,37,134,6,26890.7,08-08-2024
642,33,84,5,206263.05,28-08-2024
643,30,37,15,91016.0,15-01-2024
644,5,40,8,107798.4,2023-11-19
645,22,97,9,1218016.0,04-08-2024
646,44,15,2,55800.0,25-08-2024
647,18,128,9,39763.2,2023-03-19
648,24,106,10,43849.0,19-08-2024
649,25,31,11,86558.3,30-11-2024
650,21,22,13,487242.65,2023-03-27
651,6,34,12,59010.0,02-07-2023
652,22,80,12,1550686.0,28-05-2024
653,44,109,13,8095.0,21-05-2023
654,5,42,5,28465.8,14-01-2024
655,1,66,14,176003.0,2024-01-04
656,1,135,7,11512.0,28-10-2024
657,19,121,13,45624.7,2024-09-12
658,19,101,5,2201.15,2024-07-26
659,36,24,11,255554.0,19-01-2024
660,2,91,12,1618632.0,29-10-2023
661,8,134,1,4482.1,2023-09-25
662,6,38,12,301657.3,06-05-2024
663,39,147,9,25907.45,2023-01-02
664,7,33,7,44659.5,15-11-2024
665,43,114,13,10391.0,25-04-2023
666,14,15,5,132524.05,01-01-2023
667,16,124,1,3581.5,26-04-2024
668,22,64,2,223011.0,2024-01-25
669,25,110,4,9982.0,2023-02-25
670,7,124,13,46558.55,2023-05-31
671,2,66,5,59715.1,30-07-2024
672,9,124,4,14326.0,16-06-2023
673,4,95,13,862129.75,2023-11-26
674,14,108,15,47673.85,2024-05-30
675,2,148,14,63648.1,17-02-2023
676,11,4,5,16909.0,15-03-2023
677,18,7,8,156150.0,21-01-2023
678,3,107,10,14377.3,2024-09-20
679,43,133,2,3785.0,2024-06-08
680,6,21,12,104815.0,08-12-2023
681,32,76,3,422365.25,2024-10-06
682,20,18,2,53145.0,2024-09-10
683,18,130,14,58017.0,2023-07-27
684,1,63,12,1679492.0,08-08-2024
685,9,98,3,238083.0,2024-12-01
686,43,9,13,490363.4,27-05-2023
687,18,149,1,1164.0,20-06-2024
688,43,55,8,835903.1,04-01-2024
689,43,125,7,22623.3,15-03-2024
690,43,71,6,781044.0,23-07-2024
691,14,2,15,199473.4,17-12-2024
692,33,18,3,79717.0,2023-06-21
693,18,87,8,534879.0,09-09-2024
694,27,17,5,70194.0,2023-05-07
695,17,71,5,650870.0,2023-06-12
696,36,90,14,1107363.0,2024-11-16
697,27,106,4,16662.05,2024-04-20
698,3,124,10,37699.0,22-03-2023
699,2,128,8,35345.7,24-01-2023
700,6,77,2,84938.55,2023-10-15
701,47,120,2,5936.55,2023-04-29
702,20,16,8,240048.0,2024-06-02
703,23,41,3,31800.0,08-05-2024
704,16,16,7,199539.9,27-04-2024
